rank,company,country,count,sector,value
116,Deutsche Telekom,Germany,317411,Mobile telecommunications,72175.4
117,Telefonica,Spain,672412,Fixed line telecommunications,72038.1
118,Vale,Brazil,5979892,Mining,71839.3
119,eBay,US,32418823,General retailers,71516.7
120,Twenty-First Century Fox,US,#N/A,Media,71469.8
121,BBVA,Spain,1270079,Banks,70883.8
122,Rosneft,Russia,68907,Oil & gas producers,70737.1
123,Bank of Nova Scotia,Canada,#N/A,Banks,70477.3
124,Viacom,US,832857,Media,70105.9
125,Tata Consultancy Services,India,#N/A,Software & computer services,69961.2
126,United Parcel Service,US,#N/A,Industrial transportation,69094.1
127,NTT DoCoMo,Japan,99225,Mobile telecommunications,69002.4
128,Glencore Xstrata,UK,42180,Mining,68359.3
129,CNOOC,Hong Kong,63959,Oil & gas producers,67111.8
130,GDF Suez,France,37928,"Gas, water & multiutilities",66043
131,China Life Insurance,China,#N/A,Life insurance,66032
132,Eli Lilly,US,416166,Pharmaceuticals & biotechnology,65908.8
133,Las Vegas Sands,US,#N/A,Travel & leisure,65639.1
134,Honda Motor,Japan,454900,Automobiles & parts,63919.3
135,Barclays,UK,4108562,Banks,63659.6
136,BG Group,UK,222948,Oil & gas producers,63518.6
137,Caterpillar,US,3068148,Industrial engineering,63380.4
138,Walgreen,US,465229,Food & drug retailers,63014.5
139,Japan Tobacco,Japan,13860,Tobacco,62921.8
140,Axa,France,96740,Nonlife insurance,62904.9
141,Hennes & Mauritz,Sweden,#N/A,General retailers,62179.7
142,Priceline.com,US,#N/A,Travel & leisure,62147.9
143,Nippon Telegraph & Telephone,Japan,#N/A,Fixed line telecommunications,62019.7
144,Medtronic,US,521336,Health care equipment & services,61590.1
145,E I Du Pont de Nemours,US,#N/A,Chemicals,61482.1
146,Morgan Stanley,US,1036353,Financial services,61481
147,Hewlett-Packard,US,#N/A,Technology hardware & equipment,61326.1
148,Ford Motor,US,2582443,Automobiles & parts,60553.9
149,Sumitomo Mitsui Financial,Japan,#N/A,Banks,60538.6
150,Hyundai Motor,South Korea,106861,Automobiles & parts,60521
151,Bradesco,Brazil,122922,Banks,60410.5
152,Sands China,Hong Kong,5544,Travel & leisure,60242.1
153,ABB,Switzerland,1674638,Industrial engineering,59746.5
154,Monsanto,US,2229443,Food producers,59718.9
155,Metlife,US,67329,Life insurance,59492.2
156,Colgate-Palmolive,US,#N/A,Personal goods,59463.6
157,Abbott Laboratories,US,287034,Pharmaceuticals & biotechnology,59423.6
158,Dow Chemical,US,548197,Chemicals,58768.8
159,Mondelez International,US,54072,Food producers,58768.7
160,Reckitt Benckiser,UK,723386,Household goods & home construction,58682.6
161,Telstra,Australia,3091825,Fixed line telecommunications,58586.2
162,Time Warner,US,5922334,Media,58317.5
163,Express Scripts,US,245481,Health care equipment & services,58233.2
164,Nordea Bank,Sweden,14258,Banks,57342.9
165,AIA Group,Hong Kong,5759,Life insurance,57137.6
166,Celgene,US,337887,Pharmaceuticals & biotechnology,56680.4
167,Hutchison Whampoa,Hong Kong,16354,General industrials,56445.2
168,Airbus,France,2838057,Aerospace & defence,56144.2
169,EMC,US,3071059,Technology hardware & equipment,55570.9
170,Starbucks,US,9269100,Travel & leisure,55467.9
171,Intesa Sanpaolo,Italy,22366,Banks,55228
172,Ping An Insurance,China,#N/A,Life insurance,54855.5
173,General Motors,US,3268650,Automobiles & parts,54720.5
174,ING,Netherlands,1257771,Life insurance,54397.2
175,Prudential,UK,1314449,Life insurance,54151
176,EOG Resources,US,26252,Oil & gas producers,53579.5
177,Sberbank of Russia,Russia,#N/A,Banks,53397
178,Enel,Italy,132137,Electricity,53239.7
179,Unicredit,Italy,39835,Banks,52977.6
180,Blackrock,US,2475163,Financial services,52678.1
181,Danaher,US,367580,General industrials,52386.1
182,Nike,US,65699451,Personal goods,52257.9
183,Lockheed Martin,US,1471258,Aerospace & defence,52117.4
184,KDDI,Japan,103153,Mobile telecommunications,52048.8
185,A P Moller - Maersk,Denmark,#N/A,Industrial transportation,51729.3
186,Credit Suisse Group,Switzerland,#N/A,Banks,51660
187,Simon Property Group,US,#N/A,Real estate investment trusts,51537.1
188,Suncor Energy,Canada,37652,Oil & gas producers,51462.2
189,Schneider Electric,France,344229,Electronic & electrical equipment,51365.9
190,National Grid,UK,263442,"Gas, water & multiutilities",51121.1
191,Texas Instruments,US,1448326,Technology hardware & equipment,51014.9
192,Standard Chartered,UK,267112,Banks,50727
193,Accenture,US,1149478,Support services,50468.3
194,Reliance Industries,India,63009,Oil & gas producers,50367.8
195,Duke Energy,US,594105,"Gas, water & multiutilities",50349.3
196,Halliburton,US,1085023,Oil equipment & services,50107.5
197,BT Group,UK,30961,Fixed line telecommunications,50100
198,Richemont,Switzerland,98572,Personal goods,49875.6
199,Lowe's Companies,US,#N/A,General retailers,49818.1
200,Societe Generale,France,116063,Banks,49212
201,Costco Wholesale,US,337988,General retailers,49125.5
